age,education,experience_years,skills_score,gender,race,department,hired
28,Bachelor,3,82,Male,White,Engineering,1
34,Master,8,91,Male,White,Engineering,1
26,Bachelor,2,75,Female,Black,Engineering,0
31,Master,6,88,Male,Asian,Engineering,1
29,Bachelor,4,79,Female,White,Engineering,0
35,PhD,10,95,Male,White,Engineering,1
27,Bachelor,3,81,Female,Hispanic,Engineering,0
33,Master,7,89,Male,Black,Engineering,1
30,Bachelor,5,83,Male,White,Marketing,1
28,Master,4,86,Female,White,Marketing,1
32,Bachelor,6,80,Male,Asian,Marketing,1
25,Bachelor,2,72,Female,Black,Marketing,0
36,Master,9,92,Male,White,Marketing,1
29,Bachelor,4,78,Female,Hispanic,Marketing,0
31,Master,5,85,Male,White,Marketing,1
27,Bachelor,3,77,Female,White,Marketing,0
34,PhD,8,93,Male,Black,Engineering,1
26,Bachelor,2,74,Female,Asian,Engineering,0
33,Master,7,90,Male,White,Engineering,1
30,Bachelor,5,84,Female,White,Engineering,1
28,Bachelor,3,80,Male,Hispanic,Engineering,1
35,Master,9,91,Female,White,Engineering,1
29,Bachelor,4,77,Male,Black,Marketing,0
32,Master,6,87,Female,Asian,Marketing,1
27,Bachelor,2,73,Female,Black,Marketing,0
36,PhD,11,96,Male,White,Engineering,1
31,Master,6,88,Female,Hispanic,Engineering,0
28,Bachelor,3,82,Male,Asian,Engineering,1
30,Master,5,86,Male,White,Marketing,1
26,Bachelor,2,71,Female,Black,Marketing,0
34,Bachelor,7,83,Male,White,Engineering,1
29,Master,4,85,Female,White,Engineering,1
33,Bachelor,6,81,Male,Hispanic,Engineering,1
27,PhD,3,89,Female,Asian,Engineering,0
35,Master,8,90,Male,White,Marketing,1
31,Bachelor,5,79,Female,Black,Marketing,0
28,Master,4,84,Male,White,Marketing,1
32,Bachelor,6,82,Female,White,Marketing,1
26,Bachelor,2,70,Male,Black,Engineering,0
36,Master,9,94,Male,White,Engineering,1
30,PhD,5,91,Female,White,Engineering,1
29,Bachelor,4,76,Male,Hispanic,Marketing,0
33,Master,7,88,Female,Asian,Marketing,1
28,Bachelor,3,78,Female,Black,Marketing,0
34,Bachelor,8,85,Male,White,Engineering,1
27,Master,3,83,Male,Asian,Engineering,1
31,Bachelor,5,80,Female,Hispanic,Engineering,0
35,PhD,10,95,Male,White,Engineering,1
26,Bachelor,2,73,Female,Black,Engineering,0
32,Master,6,87,Male,White,Marketing,1
